timestamp,lat,lon,course,direction,kts,mph,altft,climbft,datasource
Mon 11:21:24 AM,51.4760,-0.8055,90°,East,132,152,3700,-811 , FlightAware ADS-B  (EGTF) 
Mon 11:21:39 AM,51.4760,-0.7900,89°,East,136,157,3500,-800 , FlightAware ADS-B  (EGLD) 
Mon 11:21:54 AM,51.4761,-0.7753,89°,East,136,157,3300,-800 , FlightAware ADS-B  (EGML) 
Mon 11:22:09 AM,51.4762,-0.7604,89°,East,130,150,3100,-800 , FlightAware ADS-B  (BBS / EGLK) 
Mon 11:22:24 AM,51.4762,-0.7459,89°,East,128,147,2900,-600 , FlightAware ADS-B  (EGLM) 
Mon 11:22:39 AM,51.4763,-0.7315,89°,East,135,155,2800,-800 , FlightAware ADS-B  (LHR / EGLL) 
Mon 11:22:54 AM,51.4764,-0.7169,90°,East,137,158,2500,-1000 , FlightAware ADS-B  (EGTB) 
Mon 11:23:09 AM,51.4765,-0.7014,89°,East,138,159,2300,-800 , FlightAware ADS-B  (FAB / EGLF) 
Mon 11:23:24 AM,51.4766,-0.6853,89°,East,144,166,2100,-800 , FlightAware ADS-B  (LHR / EGLL) 
Mon 11:23:39 AM,51.4767,-0.6685,89°,East,147,169,1900,-800 , FlightAware ADS-B  (LHR / EGLL) 
Mon 11:23:54 AM,51.4768,-0.6529,89°,East,145,167,1700,-800 , FlightAware ADS-B  (LHR / EGLL) 
Mon 11:24:09 AM,51.4769,-0.6372,90°,East,140,161,1500,-800 , FlightAware ADS-B  (EGLW) 
Mon 11:24:24 AM,51.4769,-0.6209,89°,East,141,162,1300,-800 , FlightAware ADS-B  (LTN / EGGW) 
Mon 11:24:39 AM,51.4770,-0.6068,90°,East,142,163,1100,-800 , FlightAware ADS-B  (LTN / EGGW) 
Mon 11:24:54 AM,51.4771,-0.5901,89°,East,138,159,900,-800 , FlightAware ADS-B  (FAB / EGLF) 
Mon 11:25:09 AM,51.4771,-0.5741,90°,East,134,154,700,-774 , FlightAware ADS-B  (EGTB) 
Mon 11:25:25 AM,51.4772,-0.5592,90°,East,135,155,500,-774 , FlightAware ADS-B  (EGLW) 
Mon 11:25:40 AM,51.4772,-0.5444,90°,East,134,154,300,-800 , FlightAware ADS-B  (LHR / EGLL) 
Mon 11:26:13 AM,51.4774,-0.5107,88°,East,133,153,,-545 , FlightAware ADS-B  (LHR / EGLL) 
